x y z m s sqe
3.24 -0.1 10.04 33 25 4149
3.25 -0.1 10.04 33 25 4150
3.26 -0.1 10.04 33 25 4151
3.27 -0.1 10.04 33 25 4152
3.27 -0.1 10.04 33 25 4153
3.28 -0.1 10.04 33 25 4154
3.29 -0.1 10.04 33 25 4155
3.3 -0.09 10.04 33 25 4156
3.32 -0.09 10.05 33 25 4157
3.33 -0.09 10.05 33 25 4158
3.34 -0.09 10.05 33 25 4159
3.35 -0.09 10.05 33 25 4160
3.36 -0.09 10.05 33 25 4161
3.37 -0.09 10.05 33 25 4162
3.38 -0.09 10.05 33 25 4163
3.39 -0.09 10.05 33 25 4164
3.4 -0.09 10.05 33 25 4165
3.41 -0.09 10.05 33 25 4166
3.42 -0.09 10.05 33 25 4167
3.43 -0.08 10.05 33 25 4168
3.44 -0.08 10.05 33 25 4169
3.45 -0.08 10.05 33 25 4170
3.46 -0.08 10.05 33 25 4171
3.47 -0.08 10.04 33 25 4172
3.48 -0.08 10.04 33 25 4173
3.49 -0.07 10.04 33 25 4174
3.49 -0.07 10.04 33 25 4175
3.5 -0.07 10.05 33 25 4176
3.51 -0.07 10.05 33 26 4177
3.52 -0.07 10.05 33 26 4178
3.53 -0.07 10.05 33 26 4179
3.54 -0.07 10.05 33 26 4180
3.55 -0.06 10.05 33 26 4181
3.56 -0.06 10.05 33 26 4182
3.57 -0.06 10.05 33 26 4183
3.57 -0.06 10.05 33 26 4184
3.58 -0.06 10.05 33 26 4185
3.59 -0.06 10.05 33 26 4186
3.6 -0.05 10.05 33 26 4187
3.62 -0.05 10.05 33 26 4188
3.63 -0.05 10.05 33 26 4189
3.64 -0.05 10.05 33 26 4190
3.65 -0.05 10.05 33 26 4191
3.66 -0.04 10.05 33 26 4192
3.67 -0.04 10.05 33 26 4193
3.69 -0.04 10.05 33 26 4194
3.7 -0.04 10.05 33 26 4195
3.71 -0.03 10.05 33 26 4196
3.72 -0.03 10.05 33 26 4197
3.73 -0.03 10.05 33 26 4198
3.75 -0.02 10.05 33 26 4199
3.76 -0.02 10.05 33 26 4200
3.78 -0.02 10.05 33 26 4201
3.79 -0.02 10.05 33 26 4202
3.81 -0.02 10.05 33 26 4203
3.82 -0.02 10.05 33 26 4204
3.84 -0.02 10.05 33 26 4205
3.85 -0.01 10.05 33 26 4206
3.87 -0.01 10.05 33 27 4207
3.88 -0.01 10.05 33 27 4208
3.9 -0.01 10.05 33 27 4209
3.91 -0 10.04 33 27 4210
3.93 -0 10.04 33 27 4211
3.95 0 10.04 33 27 4212
3.96 0 10.04 33 27 4213
3.98 0.01 10.04 33 27 4214
3.99 0.01 10.04 33 27 4215
4.01 0.01 10.04 33 27 4216
4.03 0.02 10.04 33 27 4217
4.05 0.02 10.04 33 27 4218
4.06 0.02 10.04 33 27 4219
4.07 0.03 10.04 33 27 4220
4.09 0.03 10.04 33 27 4221
4.1 0.03 10.04 33 27 4222
4.12 0.04 10.04 33 27 4223
4.14 0.04 10.04 33 27 4224
4.15 0.04 10.04 33 27 4225
4.17 0.04 10.04 33 27 4226
4.18 0.05 10.04 33 27 4227
4.2 0.05 10.04 33 27 4228
4.21 0.05 10.04 33 27 4229
4.23 0.05 10.04 33 27 4230
4.24 0.06 10.04 33 27 4231
4.25 0.06 10.04 33 27 4232
4.27 0.06 10.04 33 27 4233
4.28 0.06 10.04 33 27 4234
4.29 0.06 10.04 33 27 4235
4.3 0.07 10.04 33 27 4236
4.31 0.07 10.04 33 28 4237
4.32 0.07 10.04 33 28 4238
4.33 0.07 10.04 33 28 4239
4.34 0.07 10.04 33 28 4240
4.35 0.07 10.04 33 28 4241
4.36 0.08 10.04 33 28 4242
4.37 0.08 10.04 33 28 4243
4.37 0.08 10.04 33 28 4244
4.38 0.08 10.04 33 28 4245
4.39 0.08 10.04 33 28 4246
4.39 0.08 10.04 33 28 4247
4.4 0.08 10.04 33 28 4248
4.41 0.08 10.05 33 28 4249
4.41 0.08 10.05 33 28 4250
4.42 0.08 10.05 33 28 4251
4.42 0.08 10.05 33 28 4252
4.43 0.08 10.05 33 28 4253
4.43 0.08 10.05 33 28 4254
4.44 0.08 10.05 33 28 4255
4.45 0.08 10.05 33 28 4256
4.45 0.08 10.05 33 28 4257
4.46 0.08 10.06 33 28 4258
4.46 0.08 10.06 33 28 4259
4.47 0.08 10.06 33 28 4260
4.47 0.08 10.06 33 28 4261
4.48 0.08 10.06 33 28 4262
4.48 0.08 10.06 33 28 4263
4.49 0.08 10.05 33 28 4264
4.49 0.08 10.05 33 28 4265
4.5 0.08 10.05 33 28 4266
4.51 0.08 10.05 33 29 4267
4.51 0.08 10.05 33 29 4268
4.52 0.08 10.05 33 29 4269
4.53 0.08 10.05 33 29 4270
4.53 0.09 10.05 33 29 4271
4.54 0.09 10.05 33 29 4272
4.55 0.09 10.05 33 29 4273
4.56 0.09 10.05 33 29 4274
4.56 0.09 10.05 33 29 4275
4.57 0.09 10.05 33 29 4276
4.58 0.09 10.05 33 29 4277
4.59 0.09 10.04 33 29 4278
4.6 0.09 10.04 33 29 4279
4.61 0.1 10.04 33 29 4280
4.62 0.1 10.04 33 29 4281
4.62 0.1 10.04 33 29 4282
4.64 0.1 10.04 33 29 4283
4.65 0.1 10.04 33 29 4284
4.66 0.11 10.03 33 29 4285
4.68 0.11 10.03 33 29 4286
4.69 0.11 10.03 33 29 4287
4.7 0.11 10.03 33 29 4288
4.71 0.12 10.03 33 29 4289
4.73 0.12 10.03 33 29 4290
4.74 0.12 10.03 33 29 4291
4.75 0.12 10.03 33 29 4292
4.77 0.13 10.03 33 29 4293
4.78 0.13 10.03 33 29 4294
4.8 0.14 10.03 33 29 4295
4.81 0.14 10.03 33 29 4296
4.83 0.14 10.03 33 30 4297
4.84 0.15 10.03 33 30 4298
4.86 0.15 10.03 33 30 4299
4.87 0.15 10.03 33 30 4300
4.89 0.16 10.04 33 30 4301
4.9 0.16 10.04 33 30 4302
4.92 0.17 10.04 33 30 4303
